"ID" "Name" "PositionCommittee" "AttendanceCommittee" "AttendanceCommittee.prop" "Firstname" "Lastname" "Nationality" "NationalParty" "EPGroup" "NeutralCommittees" "NumberCommittees" "NumberPreviousCommittees" "Incumbent" "CommitteeIncumbent" "LoyaltyEPGroup" "LoyaltyNationalParty" "ParticipationRollCall" "PolicyLoyaltyEPGroup" "PolicyLoyaltyNationalParty" "PolicyParticipationRollCall" "MP" "Minister" "PM" "PolicyMP" "PolicyMinister" "NumberReports_OwnInitiative.prev" "NumberReports" "NumberReports_Codecision" "NumberReports_OwnInitiative" "NumberShadowReports" "Committee" "Year" "Chair" "NumberCommittees.lag" "NeutralCommittees.lag" "AttendanceCommittee.prop.lag" "NumberReports_Codecision.lag" "NumberReports.lag" "NumberShadowReports.lag" "PositionCommittee.lag" "Chair.lag" "NationalPolitics" "PolicyNationalPolitics" "EP" "INI.cum" "NewMember.lag" "NumberReports_Codecision.cum" "Loyalty" "NewMemberState"
28842 "Raymond Langendries" "Member" 19 0.95 "Raymond" "LANGENDRIES" "Belgium" "Centre Democrate Humaniste" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 1 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
2326 "Bernard Lehideux" "Member" 16 0.8 "Bernard" "LEHIDEUX" "France" "Union pour la democratie francaise" "ALDE" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
4395 "Mario Mantovani" "Member" 15 0.75 "Mario" "MANTOVANI" "Italy" "Forza Italia" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA "EMPL" 1 0 0 0 0.666666666666667 0 1 0 0 0 0 0 6 1 0 0 NA 0
23704 "Ji?í Maštálka" "Member" 11 0.55 "Jiri" "MASTALKA" "Czech Republic" "Komunisticka strana Cech a Moravy" "GUE/NGL" 0 0 0 1 0 NA NA NA NA NA NA 1 0 0 1 0 0 1 0 1 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
28383 "Ana Mato Adrover" "Member" 18 0.9 "Ana" "MATO ADROVER" "Spain" "Partido Popular" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 0 0 1 0 0 1 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 0
28575 "Maria Matsouka" "Member" 19 0.95 "Maria" "MATSOUKA" "Greece" "Panellinio Socialistiko Kinima" "S" 1 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
28111 "Mary Lou McDonald" "Member" 14 0.7 "Mary Lou" "McDONALD" "Ireland" "Sinn Fein" "GUE/NGL" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
1122 "Ria G.H.C. Oomen-Ruijten" "Member" 18 0.9 "Ria" "OOMEN-RUIJTEN" "Netherlands" "Christen Democratisch Appel" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 NA 0 1 1 0 1 NA "EMPL" 1 0 0 0 0.666666666666667 0 0 0 0 0 1 NA 6 1 0 3 NA 0
26829 "Siiri Oviir" "Member" 15 0.75 "Siiri" "OVIIR" "Estonia" "Eesti Keskerakond" "ALDE" 1 0 0 1 0 NA NA NA NA NA NA 1 1 0 1 1 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
28571 "Marie Panayotopoulos-Cassiotou" "Member" 18 0.9 "Marie" "PANAYOTOPOULOS-CASSIOTOU" "Greece" "Nea Dimokratia" "PPE" 2 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
23782 "Jacek Protasiewicz" "Member" 19 0.95 "Jacek" "PROTASIEWICZ" "Poland" "Platforma Obywatelska" "PPE" 0 0 0 1 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 1
28402 "José Albino Silva Peneda" "Member" 19 0.95 "Jose Albino" "SILVA PENEDA" "Portugal" "Coligacao Forca Portugal (PPD/PSD.CDS-PP)" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 1 0 1 1 0 1 1 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 0
1933 "Elisabeth Schroedter" "Member" 16 0.8 "Elisabeth" "SCHROEDTER" "Germany" "Bundnis 90/Die Grunen" "Verts/ALE" 0 1 1 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.666666666666667 0 0 0 0 0 0 0 6 0 0 0 NA 0
684 "Jean Spautz" "Member" 16 0.8 "Jean" "SPAUTZ" "Luxembourg" "Parti chretien social" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 1 0 NA 1 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 0
4546 "Struan Stevenson" "Member" 2 0.1 "Struan" "STEVENSON" "United Kingdom" "Scottish Conservative and Unionist Party" "PPE" 1 0 0 1 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 6 0 0 0 0 0 6 0 0 0 NA 0
28581 "Evangelia Tzampazi" "Member" 11 0.55 "Evangelia" "TZAMPAZI" "Greece" "Panellinio Socialistiko Kinima" "S" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
1938 "Anne Van Lancker" "Member" 17 0.85 "Anne" "VAN LANCKER" "Belgium" "Socialistische Partij.Anders- Sociaal, Progressief, Internationaal, Regionaal, Integraal Democratisch, Toekomstgericht" "S" 1 0 0 1 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.666666666666667 0 0 0 0 0 0 0 6 0 0 0 NA 0
28248 "Gabriele Zimmer" "Member" 18 0.9 "Gabriele" "ZIMMER" "Germany" "Partei des Demokratischen Sozialismus" "GUE/NGL" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
