"PARTIVLG" "skyldigfri" "merpoliti" "burinne" "overvak" "ransak" "bunnsamfunn" "utdanning" "mann" "alder"
"Høyre (H)" 0 0 3 3 3 3 4 0 35
"Fremskrittspartiet (FrP)" 0 1 3 2 2 5 1 0 34
"Fremskrittspartiet (FrP)" 0 1 1 3 2 5 3 1 49
"Fremskrittspartiet (FrP)" 0 2 2 1 0 4 NA 1 70
"Fremskrittspartiet (FrP)" 0 1 1 2 2 4 NA 1 34
"Fremskrittspartiet (FrP)" 1 1 2 2 2 5 1 1 69
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 1 0 53
"Fremskrittspartiet (FrP)" 0 1 2 2 3 6 1 1 53
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 1 1 37
"Fremskrittspartiet (FrP)" 0 1 1 2 2 4 1 1 25
"Høyre (H)" 0 0 0 3 2 3 5 1 53
"Høyre (H)" 0 1 3 2 2 4 5 1 52
"Fremskrittspartiet (FrP)" 0 2 3 3 3 3 1 0 49
"Fremskrittspartiet (FrP)" 0 0 2 2 1 3 3 0 22
"Høyre (H)" 1 1 3 3 2 3 1 1 63
"Fremskrittspartiet (FrP)" 1 2 3 3 3 4 1 0 21
"Fremskrittspartiet (FrP)" 0 0 2 2 0 5 1 1 35
"Fremskrittspartiet (FrP)" 0 2 3 3 2 3 1 0 68
"Fremskrittspartiet (FrP)" 1 0 2 2 2 7 1 0 22
"Høyre (H)" 0 0 1 1 1 5 3 0 42
"Fremskrittspartiet (FrP)" 0 1 3 2 2 5 1 1 46
"Fremskrittspartiet (FrP)" 0 0 2 0 3 8 1 1 24
"Høyre (H)" 0 1 2 3 0 5 3 0 29
"Høyre (H)" NA 1 0 1 0 5 1 0 79
"Fremskrittspartiet (FrP)" 0 0 1 3 2 6 1 0 50
"Fremskrittspartiet (FrP)" 0 0 3 3 3 8 1 1 41
"Fremskrittspartiet (FrP)" 0 1 3 3 0 5 1 0 48
"Fremskrittspartiet (FrP)" 1 NA 3 3 3 3 1 0 58
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 1 0 55
"Fremskrittspartiet (FrP)" 0 2 3 3 3 6 1 1 56
"Fremskrittspartiet (FrP)" 0 0 2 2 2 4 NA 1 59
"Høyre (H)" 0 1 1 2 1 8 1 1 60
"Høyre (H)" 0 1 1 2 0 6 5 0 26
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 1 1 35
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 2 0 2 1 4 3 1 24
"Fremskrittspartiet (FrP)" 1 1 2 2 NA 5 1 0 62
"Fremskrittspartiet (FrP)" 0 0 3 3 1 8 1 0 38
"Fremskrittspartiet (FrP)" 0 0 0 3 0 5 NA 1 55
"Fremskrittspartiet (FrP)" 1 2 3 3 3 1 1 1 70
NA NA NA NA NA NA NA NA NA NA
"Høyre (H)" 1 2 3 3 2 4 3 0 71
"Fremskrittspartiet (FrP)" 1 2 0 2 0 8 1 1 64
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 1 3 2 2 6 4 0 29
"Høyre (H)" 0 0 3 3 2 5 1 0 39
"Fremskrittspartiet (FrP)" 0 1 1 1 0 4 1 1 36
"Fremskrittspartiet (FrP)" 0 1 3 NA NA 4 1 1 68
"Fremskrittspartiet (FrP)" 0 0 3 3 3 5 3 1 67
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 4 1 57
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 1 0 69
"Fremskrittspartiet (FrP)" 0 2 3 3 3 5 1 1 42
"Fremskrittspartiet (FrP)" 0 2 3 2 2 6 1 1 61
"Høyre (H)" 0 2 2 3 3 5 1 1 48
"Fremskrittspartiet (FrP)" 1 2 3 3 3 5 1 1 33
"Høyre (H)" 0 1 3 3 3 5 4 1 49
"Fremskrittspartiet (FrP)" 0 1 0 3 2 5 NA 1 55
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 1 1 26
"Fremskrittspartiet (FrP)" 0 1 2 3 3 4 1 1 39
"Fremskrittspartiet (FrP)" 0 0 3 3 3 7 1 1 50
"Fremskrittspartiet (FrP)" 1 0 3 3 2 5 4 1 30
"Fremskrittspartiet (FrP)" 1 2 2 3 2 3 1 0 67
"Fremskrittspartiet (FrP)" 0 2 0 2 2 4 1 1 33
"Høyre (H)" 0 1 3 3 3 4 4 1 61
"Høyre (H)" 0 1 2 2 2 5 3 1 72
"Fremskrittspartiet (FrP)" 0 1 2 3 3 4 2 1 55
"Fremskrittspartiet (FrP)" 0 1 0 3 3 5 NA 1 54
"Fremskrittspartiet (FrP)" 0 2 0 1 1 8 1 0 32
"Fremskrittspartiet (FrP)" 0 2 1 3 0 3 2 0 53
"Fremskrittspartiet (FrP)" 0 1 3 3 3 4 3 1 46
"Fremskrittspartiet (FrP)" 0 2 3 2 2 5 1 0 66
"Fremskrittspartiet (FrP)" 0 1 1 1 0 4 4 1 25
"Høyre (H)" 0 1 2 2 0 5 4 0 70
"Fremskrittspartiet (FrP)" 0 1 2 1 1 4 1 0 23
"Fremskrittspartiet (FrP)" 0 1 1 2 1 6 2 0 61
"Høyre (H)" 0 0 0 0 2 8 1 1 34
"Fremskrittspartiet (FrP)" 0 1 3 3 1 7 3 0 24
"Høyre (H)" 0 2 3 3 3 4 1 0 46
"Høyre (H)" 0 1 2 2 1 5 5 0 38
NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA
"Høyre (H)" 0 0 1 2 1 5 5 1 33
"Høyre (H)" NA 1 1 2 1 4 1 0 72
"Fremskrittspartiet (FrP)" 0 0 3 NA NA 4 1 0 48
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 1 0 59
"Høyre (H)" 0 0 0 3 2 5 5 1 70
"Høyre (H)" 0 0 0 2 2 3 4 1 39
"Høyre (H)" NA 1 2 2 1 6 NA 0 39
"Høyre (H)" 0 1 1 3 3 5 5 0 37
"Fremskrittspartiet (FrP)" 0 0 2 2 2 4 5 0 47
